Date,team_avg(*C),team_min(*C),team_max(*C),prcp,snow,wind_speed(m/s),Rain_probability(%)
3/11/1990,24.4,,31.2,,0,57.82,0.34
3/12/1990,24.8,18.8,30.3,0,0,58.82,0.34
3/13/1990,25.3,,31,0,0,59.82,0.34
3/14/1990,25.7,20.4,30.9,,0,60.82,0.34
3/15/1990,26.1,21.6,31.1,0,0,61.82,0.34
3/16/1990,26.5,22,31.9,0,0,62.82,0.34
3/17/1990,26.6,21.5,31.9,0,0,63.82,0.34
3/18/1990,26.8,20.4,32.6,0,0,64.82,0.34
3/19/1990,27.9,,34.3,0,0,65.82,0.34
3/20/1990,29.4,,36.3,0,0,66.82,0.34
3/21/1990,29.2,23.4,35.7,0,0,67.82,0.34
3/22/1990,29.1,24,,,0,68.82,0.34
3/23/1990,29.2,25.5,33.9,,0,69.82,0.34
3/24/1990,28.3,,33.5,0,0,70.82,0.34
3/25/1990,27.3,,,,0,71.82,0.34
3/26/1990,25.5,,32,,0,72.82,0.34
3/27/1990,27.3,20,31.9,,0,73.82,0.34
3/28/1990,25.4,22.2,32,7.6,0,74.82,0.34
3/29/1990,26.6,22.2,32.1,0.3,0,75.82,0.34
3/30/1990,27.9,22.1,33.7,0,0,76.82,0.34
3/31/1990,,,,,0,77.82,0.34
4/1/1990,26.6,,36.5,0,0,78.82,0.34
4/2/1990,27.5,20.6,32.7,30.7,0,79.82,0.34
4/3/1990,24.4,22,30,2.5,0,80.82,0.34
4/4/1990,25.1,21,28.4,14.5,0,81.82,0.34
4/5/1990,26.8,20.4,31.4,0,0,82.82,0.34
4/6/1990,27.9,23,33,,0,83.82,0.34
4/7/1990,27.4,19.5,33,33.3,0,84.82,0.34
4/8/1990,27.7,20,,10.7,0,85.82,0.34
4/9/1990,29.9,23,35.8,0,0,86.82,0.34
4/10/1990,30,25.8,,0,0,87.82,0.34
4/11/1990,30,26,34.8,0,0,88.82,0.34
4/12/1990,30.7,26,35.4,,0,89.82,0.34
4/13/1990,29.8,26.6,34.8,0,0,90.82,0.34
4/14/1990,29.6,25.9,35.4,0,0,91.82,0.34
4/15/1990,29.2,,34,0,0,92.82,0.34
4/16/1990,29.1,26.2,34.1,0,0,93.82,0.34
4/17/1990,28.7,25.4,32.7,0,0,94.82,0.34
4/18/1990,29.4,25,34.4,0,0,95.82,0.34
4/19/1990,29.9,26,34.8,0,0,96.82,0.34
4/20/1990,30,26.5,38.3,0,0,97.82,0.34
4/21/1990,30.8,27,36.5,,0,98.82,0.34
4/22/1990,31.5,,36.9,0,0,99.82,0.34
4/23/1990,30.1,26.4,36,0,0,100.82,0.34
4/24/1990,29.9,26.3,36.1,0,0,101.82,0.34
4/25/1990,29.9,26.5,35.4,0,0,102.82,0.34
4/26/1990,29.9,25.6,36.4,0,0,103.82,0.34
4/27/1990,29.2,25.6,34,0,0,104.82,0.34
4/28/1990,28.4,25.6,35,0,0,0,0.34
4/29/1990,23,25.6,29.1,,0,1,0.34
4/30/1990,27,22,33.9,0,0,2,0.34
5/1/1990,26.9,20.6,33.2,13.7,0,3,0.34
5/2/1990,29.2,24.5,34.8,0,0,4,0.34
5/3/1990,29.2,24.3,34,0,0,5,0.34
5/4/1990,27.8,25,34,,0,6,0.34
5/5/1990,27.8,23.7,,0,0,7,0.34
5/6/1990,28.8,24.6,33.4,0,0,8,0.34
5/7/1990,30.1,25,32.7,,0,9,0.34
5/8/1990,29.1,25.6,33.3,0,0,10,0.34
5/9/1990,28.4,,32.8,,0,11,0.34
5/10/1990,28.6,24.5,33.4,,0,12,0.34
5/11/1990,27.1,23.5,31.5,31.8,0,13,0.34
5/12/1990,26.8,24.5,31,8.6,0,14,0.34
5/13/1990,26.6,23.5,31.1,9.9,0,15,0.34
5/14/1990,26.9,24,29.7,15.5,0,16,0.34
5/15/1990,28.2,25,33.2,0.5,0,17,0.34
5/16/1990,30.1,26,34.9,5.1,0,18,0.34
5/17/1990,,,,,0,19,0
5/18/1990,29.6,22.4,35,19.8,0,20,0
5/19/1990,30.2,27.6,,0,0,21,0
5/20/1990,31.4,27.4,,0,0,22,0
5/21/1990,30.8,,35.8,0,0,23,0
5/22/1990,31,25.2,38,0,0,34.2,0
5/23/1990,31.2,,,,0,35.2,0
5/24/1990,31.7,,35.1,4.8,0,36.2,0
5/25/1990,,,,,0,37.2,0
5/26/1990,,,,,0,38.2,0
5/27/1990,,,,,0,39.2,0
5/28/1990,,,,,0,40.2,0
5/29/1990,,,,,0,41.2,0
5/30/1990,,,,,0,42.2,0
5/31/1990,31.1,28,36.9,0,0,43.2,0
6/1/1990,31.9,27.8,37.6,,0,44.2,0
6/2/1990,30.3,,38.9,,0,45.2,0
6/3/1990,30.2,21.3,33.2,41.1,0,46.2,0
6/4/1990,32,26.4,36.4,0,0,47.2,0
6/5/1990,30.8,,35.4,0,0,48.2,0
6/6/1990,28.7,,35.3,,0,49.2,0
6/7/1990,30.5,25,35.6,,0,50.2,0
6/8/1990,30.9,26.8,36.2,0,0,51.2,0
6/9/1990,30.8,26.5,35.2,0,0,52.2,0
6/10/1990,30.6,27,35.4,0,0,53.2,0
6/11/1990,30.3,,,,0,54.2,0
6/12/1990,27.6,,37.1,,0,55.2,0
6/13/1990,27.3,,29.4,,0,56.2,0
6/14/1990,26.7,24,28.9,9.9,0,57.2,0
6/15/1990,29.3,,33.6,0,0,58.2,0
6/16/1990,29,24.4,34.6,40.4,0,59.2,0
6/17/1990,29.8,26.4,32.2,2.8,0,60.2,0
6/18/1990,28.9,25.6,32.8,0,0,61.2,0
6/19/1990,28.3,26.2,33.6,0.5,0,62.2,0
6/20/1990,28.8,27,33.4,14.2,0,63.2,0
6/21/1990,30.2,26.2,34.4,10.4,0,64.2,0
6/22/1990,29.5,,33.9,0,0,65.2,0
6/23/1990,29,25.8,34.1,3.6,0,66.2,0
6/24/1990,27.7,,31.2,0,0,67.2,0
6/25/1990,26.3,23.9,28.4,13.2,0,68.2,0
6/26/1990,28.5,,32.8,0.5,0,69.2,0
6/27/1990,27.3,22.5,31.9,28.7,0,70.2,0
6/28/1990,28.5,24.5,32.3,5.6,0,71.2,0
6/29/1990,28.3,23.9,33.6,17.5,0,72.2,0
6/30/1990,28.8,24.4,33.9,6.1,0,73.2,0
7/1/1990,27.7,26,31.3,1.8,0,74.2,0
7/2/1990,27.7,24.4,29.5,15.5,0,75.2,0
7/3/1990,27.9,,30.2,4.1,0,76.2,0
7/4/1990,28.1,25,32,0,0,77.2,0
7/5/1990,28.7,26,30.3,0,0,78.2,0
7/6/1990,26.8,,30.4,0.5,0,79.2,0
7/7/1990,26.3,23.5,30.4,21.8,0,80.2,0
7/8/1990,25.1,23.4,33.8,18,0,81.2,0
7/9/1990,27.8,22.6,31.4,35.1,0,82.2,0
7/10/1990,25.6,23.5,,5.8,0,83.2,0
7/11/1990,26.5,24,31.5,9.7,0,84.2,0
7/12/1990,26.6,23.4,30.4,76.2,0,85.2,0
7/13/1990,26,23.8,29.1,1.8,0,86.2,0
7/14/1990,27.7,23.8,29.7,23.6,0,87.2,0
7/15/1990,27.5,25.5,,0,0,88.2,0
7/16/1990,28.8,24.8,,,0,89.2,0
7/17/1990,28.8,24.8,,,0,90.2,0
7/18/1990,28.8,24.8,,,0,91.2,0
7/19/1990,28.8,24.8,31,24.1,0,92.2,0
7/20/1990,26.2,24.2,32,22.1,0,93.2,0
7/21/1990,28.1,24,32,0.5,0,94.2,0
7/22/1990,26.9,25,31.6,0,0,95.2,0
7/23/1990,27.3,24,29.8,43.2,0,96.2,0
7/24/1990,29.5,25.6,33,1.5,0,97.2,0
7/25/1990,28.9,25.5,,0,0,98.2,0
7/26/1990,30.1,25.6,,4.3,0,99.2,0
7/27/1990,29.7,25.8,36.3,0,0,100.2,0
7/28/1990,28.2,25.8,33.7,0,0,101.2,0
7/29/1990,28.3,25.8,33,35.3,0,102.2,0
7/30/1990,30,25.8,33.5,0,0,103.2,0
7/31/1990,29.3,26.5,34.4,,0,104.2,0
8/1/1990,29.8,25.6,33.9,0,0,105.2,0
8/2/1990,27.3,24,33.2,13,0,106.2,0
8/3/1990,28.9,23.5,32.8,2,0,107.2,0
8/4/1990,29.5,26.3,34.2,0,0,108.2,0
8/5/1990,30,26,34.4,5.3,0,109.2,0
8/6/1990,30.2,26.6,33.7,0,0,110.2,0
8/7/1990,28.6,24.6,,,0,111.2,0
8/8/1990,28.2,23.6,32.6,,0,112.2,0
8/9/1990,27.2,25,32,,0,113.2,0
8/10/1990,29.4,25.2,32.3,,0,114.2,0
8/11/1990,29.3,25.6,33.6,0,0,115.2,0
8/12/1990,28.9,26.2,,0,0,116.2,0
8/13/1990,29.2,,34,,0,117.2,0
8/14/1990,27.6,24.2,32,19.1,0,118.2,0
8/15/1990,27.6,25.5,29.9,18.8,0,119.2,0
8/16/1990,27.4,25,30.4,19.1,0,120.2,0
8/17/1990,27.2,,29.4,8.6,0,121.2,0
8/18/1990,27.1,24.2,32.4,24.9,0,122.2,0
8/19/1990,28.3,24.4,33.3,8.4,0,123.2,0
8/20/1990,27.3,24.8,31.8,6.1,0,124.2,0
8/21/1990,25.9,24.2,26.9,80.5,0,125.2,0
8/22/1990,28.3,,31.5,3,0,126.2,0
8/23/1990,28.7,26.2,32.2,3.8,0,127.2,0
8/24/1990,29.8,26.2,34.5,0,0,128.2,0
8/25/1990,29.7,25.8,34.8,0,0,129.2,0
8/26/1990,28.8,,33,3.6,0,130.2,0
8/27/1990,26.7,23.2,,47,0,131.2,0
8/28/1990,28.1,24,31.6,49,0,132.2,0
8/29/1990,27.9,25.4,30.4,4.6,0,133.2,0
8/30/1990,28.5,25.4,33.6,3,0,134.2,0
8/31/1990,29.1,26,32.1,1.3,0,135.2,0
9/1/1990,29.8,25.2,33.1,0,0,136.2,0
9/2/1990,28.2,25.6,30.4,,0,137.2,0
9/3/1990,26.9,23.8,29.9,0.3,0,138.2,0
9/4/1990,27.1,,32,0,0,139.2,0
9/5/1990,27.8,23,,3.8,0,140.2,0
9/6/1990,26.6,25,29.4,1,0,141.2,0
9/7/1990,27.2,24.2,31.6,7.4,0,142.2,0
9/8/1990,28.3,24.5,32.4,0,0,143.2,0
9/9/1990,30.9,25.5,34.6,0,0,144.2,0
9/10/1990,28.5,,34.6,,0,145.2,0
9/11/1990,27.7,24.5,32.6,7.1,0,146.2,24
9/12/1990,26.1,23.3,27.9,12.4,0,147.2,24
9/13/1990,26.7,23.5,28.6,16,0,148.2,24
9/14/1990,28,24.1,31.7,8.4,0,149.2,24
9/15/1990,29.4,25,33.3,5.6,0,150.2,24
9/16/1990,29.8,25.5,33.9,0,0,151.2,24
9/17/1990,29.8,24.6,35,0,0,152.2,24
9/18/1990,28.7,25.5,33.6,0,0,153.2,24
9/19/1990,30.1,25.3,34.4,,0,154.2,24
9/20/1990,28.3,,31.7,4.6,0,155.2,24
9/21/1990,26.3,24.7,32.1,0.5,0,156.2,24
9/22/1990,26.3,23.2,32.7,75.7,0,157.2,24
9/23/1990,26.9,23.4,,14.5,0,158.2,24
9/24/1990,27.4,23.2,,22.9,0,159.2,24
9/25/1990,28.5,24.5,32.5,13,0,160.2,24
9/26/1990,28.6,24.6,32.5,0,0,161.2,24
9/27/1990,28.8,,32.9,0,0,162.2,24
9/28/1990,28.4,25.6,,0,0,163.2,24
9/29/1990,28,24.5,33.5,0,0,164.2,24
9/30/1990,28.2,24.5,32.4,,0,165.2,24
10/1/1990,26.1,24.5,30.7,2.8,0,166.2,24
10/2/1990,26.9,24,31.1,3.6,0,167.2,24
10/3/1990,26.4,24,30,3.3,0,168.2,24
10/4/1990,27,24.5,32,0,0,45.6,24
10/5/1990,26.8,24,,23.1,0,46.6,24
10/6/1990,28.1,24.7,32.5,0,0,47.6,24
10/7/1990,26.1,24.5,27.4,86.1,0,48.6,24
10/8/1990,27.5,23.6,30.5,20.3,0,49.6,24
10/9/1990,27.9,24.8,32.4,1.8,0,50.6,24
10/10/1990,26.5,23.4,31.3,0,0,51.6,24
10/11/1990,26.6,,29.5,0.5,0,52.6,24
10/12/1990,26.8,23.5,31.7,1.8,0,53.6,24
10/13/1990,26.4,23.2,31,0.8,0,54.6,24
10/14/1990,26.3,22,31.1,6.1,0,55.6,24
10/15/1990,27.7,22.1,32.3,0,0,56.6,24
10/16/1990,27.7,23,31.4,0,0,57.6,24
10/17/1990,26.6,,31.4,0,0,58.6,24
10/18/1990,25.3,18.5,31.4,0,0,59.6,24
10/19/1990,24.8,,31.4,0,0,60.6,24
10/20/1990,26.9,19.5,32,0,0,61.6,24
10/21/1990,26.1,,31.1,0,0,62.6,24
10/22/1990,26.7,20,31.9,0,0,63.6,24
10/23/1990,26.1,22.5,31,0.5,0,64.6,24
10/24/1990,24.3,21.5,,0,0,65.6,24
10/25/1990,25,20.4,29.5,0,0,66.6,24
10/26/1990,25.3,,32,0,0,67.6,24
10/27/1990,25.7,19.5,31.8,0,0,68.6,24
10/28/1990,25.7,,32.2,0,0,69.6,24
10/29/1990,24.4,20.7,31.6,0,0,70.6,24
10/30/1990,26,19.2,32.3,0,0,71.6,24
10/31/1990,26.1,20.5,31.9,0,0,72.6,24
11/1/1990,25.6,20.5,30.7,0,0,73.6,24
11/2/1990,23.9,21,26.2,,0,74.6,24
11/3/1990,23.3,20.2,,137.2,0,75.6,24
11/4/1990,24.2,,25.9,97,0,76.6,24
11/5/1990,25.8,23.2,30.5,25.7,0,77.6,24
11/6/1990,27.8,,31.8,0,0,78.6,24
11/7/1990,25.9,23.9,,11.7,0,79.6,24
11/8/1990,25.2,,30.5,10.4,0,80.6,24
11/9/1990,23.7,17.6,30,0,0,81.6,24
11/10/1990,23.7,17.1,,0,0,82.6,24
11/11/1990,25.1,17.5,29.7,0,0,83.6,24
11/12/1990,24.9,21.3,29.5,,0,84.6,24
11/13/1990,27.4,22.5,31.3,0,0,85.6,24
11/14/1990,28.2,23,31.5,,0,86.6,24
11/15/1990,24.7,21,32.2,,0,87.6,24
11/16/1990,25.4,18.5,32,0,0,88.6,24
11/17/1990,27.8,20.5,33.7,0,0,89.6,24
11/18/1990,24.8,,,0,0,90.6,24
11/19/1990,25.4,18.2,30.1,,0,91.6,24
11/20/1990,22.9,16.6,29.6,0,0,92.6,24
11/21/1990,25.8,17.8,31.2,,0,93.6,24
11/22/1990,,,,,0,94.6,24
11/23/1990,,,,,0,95.6,24
11/24/1990,27.2,19.4,31.4,0,0,96.6,24
11/25/1990,24.5,19.8,30.7,0,0,97.6,24
11/26/1990,25.6,18.7,30.8,,0,98.6,24
11/27/1990,22.2,16.1,,0,0,99.6,24
11/28/1990,22.6,16,29.9,0,0,100.6,24
11/29/1990,23.4,17.2,,0,0,101.6,24
11/30/1990,23.1,17,,0,0,102.6,24
12/1/1990,23.8,17.2,31.1,0,0,103.6,24
12/2/1990,25.7,18.1,30.6,,0,104.6,24
12/3/1990,25.2,17.5,30.4,,0,105.6,24
12/4/1990,25.7,18.5,30.1,,0,106.6,24
12/5/1990,22.4,18,30.2,0,0,107.6,24
12/6/1990,23.7,,29.5,0,0,108.6,24
12/7/1990,23,16,29.4,0,0,109.6,24
12/8/1990,20.9,15.2,28.9,0,0,110.6,24
12/9/1990,21.8,14.5,29,0,0,111.6,24
12/10/1990,22.1,15.8,29.1,0,0,112.6,24
12/11/1990,22.3,16.8,29.5,0,0,113.6,24
12/12/1990,23.2,15.7,29.3,0,0,114.6,24
12/13/1990,20.8,15,28,0,0,115.6,24
12/14/1990,20.1,13.1,26.5,0,0,116.6,24
12/15/1990,18.1,13,26.8,0,0,117.6,24
12/16/1990,20.9,12.4,27.9,361.9,0,118.6,24
12/17/1990,21.9,17.9,25.6,2.8,0,119.6,24
12/18/1990,20.8,,26.7,0,0,120.6,24
12/19/1990,21.9,15.2,28.7,0,0,121.6,24
12/20/1990,21.9,15.6,29.4,0,0,122.6,24
12/21/1990,21.5,15,28.7,0,0,123.6,24
12/22/1990,20.7,12.5,28,0,0,124.6,24
12/23/1990,20.1,13,,0,0,125.6,24
12/24/1990,18.9,12,26.8,0,0,126.6,24
12/25/1990,18.9,10.9,27.9,0,0,127.6,24
12/26/1990,19.9,11.5,,,0,128.6,24
12/27/1990,,,,,0,129.6,24
12/28/1990,19.2,11,,0,0,130.6,24
12/29/1990,21.5,11.5,,,0,131.6,24
12/30/1990,20.1,12,29.5,0,0,132.6,24
12/31/1990,22.6,15,30.5,0,0,133.6,24
1/1/1991,24.3,,30.4,,0,134.6,24
1/2/1991,23,18.3,27.4,44.5,0,135.6,24
1/3/1991,19.9,,24.7,4.1,0,136.6,24
1/4/1991,18.1,11.5,23.1,0,0,137.6,24
1/5/1991,16.7,10.5,24.5,0,0,138.6,24
1/6/1991,17.9,11,25.3,0,0,139.6,24
1/7/1991,21.1,,26.9,,0,140.6,24
1/8/1991,21.7,13.4,28.7,0,0,141.6,24
1/9/1991,23.3,15.1,29.4,0,0,142.6,24
1/10/1991,19.2,,29.5,0,0,143.6,24
1/11/1991,22.3,17.6,28.9,0,0,144.6,24
1/12/1991,23.3,17.2,29.4,0,0,145.6,24
1/13/1991,20.5,19,23.4,470.9,0,146.6,24
1/14/1991,17.9,,19.9,0,0,147.6,24
1/15/1991,18.7,15.4,,4.6,0,148.6,24
1/16/1991,18.3,14.1,22.5,0,0,149.6,24
1/17/1991,20.2,13.2,26.7,0,0,150.6,24
1/18/1991,20.5,16,26.8,0,0,151.6,24
1/19/1991,17.9,16.1,23,,0,152.6,24
1/20/1991,20.6,15.6,26.6,1.3,0,153.6,24
1/21/1991,20.9,15.1,27.9,0,0,154.6,24
1/22/1991,22,14.6,30.1,0,0,155.6,24
1/23/1991,22.9,16.8,,,0,156.6,24
1/24/1991,22.7,16.8,29.6,0,0,157.6,24
1/25/1991,22.3,,29.4,0,0,158.6,24
1/26/1991,22.4,,30.2,0,0,159.6,24
1/27/1991,23.3,15.8,30.7,0,0,160.6,24
1/28/1991,23.1,16.6,29.7,0,0,161.6,24
1/29/1991,23.8,17,31.4,0,0,162.6,24
1/30/1991,23.2,16.6,,0,0,163.6,24
1/31/1991,22.9,16.5,31.9,0,0,164.6,24
2/1/1991,24.2,,32,0,0,165.6,24
2/2/1991,24.9,18.5,31.4,0,0,166.6,24
2/3/1991,25.7,21.1,31.9,0,0,167.6,24
2/4/1991,24.2,,31.4,0,0,168.6,24
2/5/1991,22.9,17.6,30.8,0,0,169.6,24
2/6/1991,23.2,17,31.3,0,0,170.6,24
2/7/1991,25.1,16,33.5,0,0,171.6,24
2/8/1991,26.1,17,34.5,0,0,172.6,24
2/9/1991,24.4,17.8,33.5,0,0,173.6,24
2/10/1991,26.6,17.6,34.4,0,0,174.6,24
2/11/1991,26.7,17.5,36.5,0,0,175.6,36
2/12/1991,27.8,18.8,36.4,0,0,176.6,37
2/13/1991,28.6,20.6,37,0,0,177.6,38
2/14/1991,26.7,19.9,34.4,0,0,178.6,39
2/15/1991,26.4,20.5,33.4,0,0,179.6,40
2/16/1991,25.6,20,32.9,0,0,180.6,41
2/17/1991,28.3,21.5,34.1,0,0,181.6,42
2/18/1991,26.2,21.5,34,,0,182.6,43
2/19/1991,26.4,19.4,34,0.3,0,183.6,44
2/20/1991,27.8,20,34,0,0,184.6,45
2/21/1991,27.7,19,36,0,0,185.6,46
2/22/1991,30.1,18.7,,0,0,186.6,47
2/23/1991,26.5,20,37.5,0,0,187.6,48
2/24/1991,27.6,20.6,36.9,0,0,188.6,49
2/25/1991,27.7,19.9,37.6,0,0,189.6,50
2/26/1991,27.5,19.4,37,,0,190.6,51
2/27/1991,24.7,20,32.6,0,0,191.6,52
2/28/1991,26.8,19.8,34,0,0,192.6,53
3/1/1991,25.3,19.8,34,0,0,193.6,54
3/2/1991,25.6,20.1,34.2,,0,194.6,55
3/3/1991,27.2,,35.9,0,0,195.6,56
3/4/1991,26.7,22,35.5,,0,196.6,57
3/5/1991,26.9,21.6,34.4,,0,197.6,58
3/6/1991,27.1,21.4,,0.3,0,198.6,59
3/7/1991,27.1,22.5,33,0,0,199.6,60
3/8/1991,27.7,22.8,34.2,0,0,200.6,61
3/9/1991,27.8,22.6,34.6,0,0,201.6,62
3/10/1991,29.2,,36,,0,202.6,63
3/11/1991,28.1,20,35,25.4,0,203.6,64
3/12/1991,29,,36.4,0,0,204.6,65
3/13/1991,28.6,22,34.9,4.8,0,205.6,66
3/14/1991,27.7,21.6,35,0.3,0,206.6,67
3/15/1991,28.5,23,,0,0,207.6,68
3/16/1991,29.2,22.3,35.1,0,0,208.6,69
3/17/1991,28.5,22.5,,,0,209.6,70
3/18/1991,29.4,22.2,38,0,0,210.6,71
3/19/1991,30.4,24,36.8,0,0,211.6,72
3/20/1991,30.3,25,39.5,0,0,212.6,73
3/21/1991,29.6,24,37.7,0,0,213.6,74
3/22/1991,29.8,24,37.3,0,0,214.6,75
3/23/1991,28,23.5,34.6,0,0,215.6,76
3/24/1991,28.8,,,,0,216.6,23.45
3/25/1991,28.4,22.8,34,0,0,217.6,24.45
3/26/1991,28.2,23.5,34.5,0,0,218.6,25.45
3/27/1991,29.3,23.5,36.9,0,0,219.6,26.45
3/28/1991,29.3,23.8,37,0,0,2.22,27.45
3/29/1991,31.1,24.3,38.5,0,0,3.22,28.45
3/30/1991,32.9,23.2,42,0,0,4.22,29.45
3/31/1991,31.9,23.5,41.6,,0,5.22,30.45
4/1/1991,30.2,25.8,37.3,0.3,0,6.22,31.45
4/2/1991,30.4,25.7,36.6,0,0,7.22,32.45
4/3/1991,29.5,,36.3,0,0,8.22,33.45
4/4/1991,29.3,24.5,36.6,0,0,9.22,34.45
4/5/1991,29.8,24.6,,1.5,0,10.22,35.45
4/6/1991,29,,37,0,0,11.22,36.45
4/7/1991,31.4,24,37.9,0,0,12.22,37.45
4/8/1991,29.7,24.6,39.8,,0,13.22,38.45
4/9/1991,30.6,,40,,0,14.22,39.45
4/10/1991,30.5,25,39.8,5.3,0,15.22,40.45
4/11/1991,28.6,,36,5.1,0,16.22,41.45
4/12/1991,28.3,21.5,,0,0,17.22,42.45
4/13/1991,30.5,24.5,37,0,0,18.22,43.45
4/14/1991,30.5,25,37.1,0,0,19.22,44.45
4/15/1991,30.8,26,41.5,0,0,20.22,45.45
4/16/1991,32.2,27,40.3,0,0,21.22,46.45
4/17/1991,31.2,27,,,0,22.22,47.45
4/18/1991,33.1,27,39.2,0,0,23.22,48.45
4/19/1991,30.9,26.1,38.2,,0,24.22,49.45
4/20/1991,30.6,25.2,38.3,0,0,25.22,50.45
4/21/1991,31.9,25.5,39.9,0,0,26.22,51.45
4/22/1991,31.6,26.6,38.7,0,0,27.22,52.45
4/23/1991,,,,,0,28.22,53.45
4/24/1991,32.6,,39.3,,0,29.22,54.45
4/25/1991,30.3,23,36.5,0,0,30.22,55.45
4/26/1991,30.1,25,37.5,0,0,31.22,56.45
4/27/1991,31.2,25.6,37.3,0,0,32.22,57.45
4/28/1991,30,,35.6,0,0,33.22,58.45
4/29/1991,31.3,25.3,38.4,0,0,34.22,59.45
4/30/1991,34.1,26.9,43.9,0,0,35.22,60.45
5/1/1991,33.2,,41.8,0,0,36.22,61.45
5/2/1991,32.1,28.5,38.3,0,0,37.22,62.45
5/3/1991,31.9,28.4,37,0,0,38.22,63.45
5/4/1991,32.3,28.1,37.8,0,0,39.22,64.45
5/5/1991,31.9,28,38.3,0,0,40.22,65.45
5/6/1991,32.6,28,38,,0,41.22,66.45
5/7/1991,34.1,27,41.5,0.3,0,42.22,67.45
5/8/1991,32.8,28.6,38.8,0,0,43.22,68.45
5/9/1991,32.3,,39,0,0,44.22,69.45
